Fabric	Classe	Perfil	d	tw	h	tf	bf	ec	Mate	Grau
FAM	CVS	950x389	950	19	900	25	650	8	A572	50
FAM	CVS	950x433	950	16	887	31.5	650	8	A572	50
FAM	CVS	950x454	950	19	887	31.5	650	8	A572	50
FAM	CVS	1000x394	1000	16	950	25	700	8	A572	50
FAM	CVS	1000x416	1000	19	950	25	700	8	A572	50
FAM	CVS	1000x464	1000	16	937	31.5	700	8	A572	50
FAM	CVS	1000x486	1000	19	937	31.5	700	8	A572	50
FAM	VS	350x39	350	4.75	331	9.5	180	5	A572	50
FAM	VS	350x38	350	4.75	334	8	200	5	A572	50
FAM	VS	350x42	350	4.75	331	9.5	200	5	A572	50
FAM	VS	350x51	350	4.75	325	12.5	200	5	A572	50
FAM	VS	400x28	400	4.75	387	6.3	140	3	A572	50
FAM	VS	400x32	400	4.75	384	8	140	5	A572	50
FAM	VS	400x35	400	4.75	381	9.5	140	5	A572	50
FAM	VS	400x30	400	4.75	387	6.3	160	3	A572	50
FAM	VS	400x34	400	4.75	384	8	160	5	A572	50
FAM	VS	400x38	400	4.75	381	9.5	160	5	A572	50
FAM	VS	400x32	400	4.75	387	6.3	180	3	A572	50
FAM	VS	400x37	400	4.75	384	8	180	5	A572	50
FAM	VS	400x41	400	4.75	381	9.5	180	5	A572	50
FAM	VS	400x39	400	4.75	384	8	200	5	A572	50
FAM	VS	400x44	400	4.75	381	9.5	200	5	A572	50
FAM	VS	450x51	450	6.3	431	9.5	200	5	A572	50
FAM	VS	450x60	450	6.3	425	12.5	200	5	A572	50
FAM	VS	450x71	450	6.3	418	16	200	6	A572	50
FAM	VS	450x80	450	6.3	412	19	200	6	A572	50
FAM	VS	450x59	450	6.3	431	9.5	250	5	A572	50
FAM	VS	450x70	450	6.3	425	12.5	250	5	A572	50
FAM	VS	450x83	450	6.3	418	16	250	6	A572	50
FAM	VS	450x95	450	6.3	412	19	250	6	A572	50
FAM	VS	500x61	500	6.3	481	9.5	250	5	A572	50
FAM	VS	500x73	500	6.3	475	12.5	250	5	A572	50
FAM	VS	500x86	500	6.3	468	16	250	6	A572	50
FAM	VS	500x97	500	6.3	462	19	250	6	A572	50
FAM	VS	550x64	550	6.3	531	9.5	250	5	A572	50
FAM	VS	550x75	550	6.3	525	12.5	250	5	A572	50
FAM	VS	550x88	550	6.3	518	16	250	6	A572	50
FAM	VS	550x100	550	6.3	512	19	250	6	A572	50
FAM	VS	600x81	600	8	581	9.5	300	5	A572	50
FAM	VS	600x95	600	8	575	12.5	300	5	A572	50
FAM	VS	600x111	600	8	568	16	300	6	A572	50
FAM	VS	600x125	600	8	562	19	300	6	A572	50
FAM	VS	600x140	600	8	555	22.4	300	8	A572	50
FAM	VS	600x152	600	8	550	25	300	8	A572	50
FAM	VS	650x84	650	8	631	9.5	300	5	A572	50
FAM	VS	650x98	650	8	625	12.5	300	5	A572	50
FAM	VS	650x114	650	8	618	16	300	6	A572	50
FAM	VS	650x128	650	8	612	19	300	6	A572	50
FAM	VS	650x143	650	8	605	22.4	300	8	A572	50
FAM	VS	650x155	650	8	600	25	300	8	A572	50
FAM	VS	700x105	700	8	675	12.5	320	5	A572	50
FAM	VS	700x122	700	8	668	16	320	6	A572	50
FAM	VS	700x137	700	8	662	19	320	6	A572	50
FAM	VS	750x108	750	8	725	12.5	320	5	A572	50
FAM	VS	750x125	750	8	718	16	320	6	A572	50
FAM	VS	750x140	750	8	712	19	320	6	A572	50
FAM	VS	750x157	750	8	705	22.4	320	8	A572	50
FAM	VS	800x111	800	8	775	12.5	320	5	A572	50
FAM	VS	800x129	800	8	768	16	320	6	A572	50
FAM	VS	800x143	800	8	762	19	320	6	A572	50
FAM	VS	800x160	800	8	755	22.4	320	8	A572	50
FAM	VS	800x173	800	8	750	25	320	8	A572	50
FAM	VS	850x120	850	8	825	12.5	350	5	A572	50
FAM	VS	850x139	850	8	818	16	350	6	A572	50
FAM	VS	850x155	850	8	812	19	350	6	A572	50
FAM	VS	850x174	850	8	805	22.4	350	8	A572	50
FAM	VS	850x188	850	8	800	25	350	8	A572	50
FAM	VS	900x124	900	8	875	12.5	350	5	A572	50
FAM	VS	900x142	900	8	868	16	350	6	A572	50
FAM	VS	900x159	900	8	862	19	350	6	A572	50
